sqft,bedrooms,age_years,metro_distance_km,price_lakhs
1592,4,29,11.01,129.95
755,1,14,5.07,103.10
3409,4,25,3.26,314.77
2316,3,0,0.44,309.70
1059,2,15,8.93,121.45
1824,1,0,14.14,97.46
1792,4,3,7.48,251.38
1747,3,6,8.56,136.11
2274,4,28,1.42,223.53
2096,5,18,14.48,168.66
2897,1,2,14.80,346.34
2620,4,24,9.13,254.49
3083,5,19,5.03,298.94
2481,4,18,4.19,191.64
2626,5,23,8.46,254.59
2618,3,3,6.65,307.57
1409,3,15,13.62,134.21
1069,2,29,9.02,133.64
2915,2,19,13.08,246.46
3144,3,10,1.92,365.96
1145,4,13,12.29,57.32
2562,1,8,3.74,253.15
2594,3,11,14.58,199.14
3494,1,8,14.65,321.03
3221,4,7,2.26,376.58
2258,4,2,5.61,304.83
2379,5,19,8.08,355.41
1121,1,22,12.16,89.73
2558,2,11,14.06,236.18
1087,5,16,10.47,116.86
2143,3,16,3.70,231.29
1300,2,21,12.72,122.86
2408,5,2,2.51,352.36
3420,1,8,4.65,255.98
1134,1,22,3.64,157.26
2720,5,22,4.69,291.12
1259,2,7,14.60,170.67
1775,4,10,9.71,222.98
2654,3,8,0.46,320.90
1883,5,8,13.26,234.97
3390,5,26,4.49,355.80
1930,1,11,5.98,160.62
2031,2,27,11.14,219.83
2136,2,9,6.35,243.33
2010,1,15,11.99,228.84
604,5,27,0.51,80.86
559,2,14,8.19,21.91
1446,3,25,4.15,155.09
607,1,16,8.16,115.30
3408,3,22,0.71,342.69
689,2,0,14.44,124.00
627,1,28,6.69,64.49
2464,5,8,14.33,279.31
2677,3,1,8.53,301.71
574,2,26,10.58,45.37
2911,3,10,7.02,281.32
2387,5,1,5.68,312.94
2095,4,21,9.28,218.61
2205,4,12,9.68,293.81
2359,2,25,9.81,195.02
757,2,0,1.51,123.04
1625,5,21,5.18,180.74
2575,2,19,13.17,259.34
2121,1,13,8.57,252.22
1585,2,24,5.18,206.55
1176,1,11,8.06,53.11
3182,1,12,0.26,411.78
1922,3,15,1.34,234.51
2501,2,23,11.89,205.13
620,3,22,8.23,111.16
758,5,2,10.54,118.31
1161,5,18,12.96,129.45
3458,3,23,5.71,255.72
1457,1,13,3.88,199.25
812,4,3,9.77,143.62
1671,2,14,1.34,123.72
487,5,30,0.74,112.54
3254,1,7,10.46,299.61
2364,4,18,13.53,296.01
967,1,20,5.89,81.75
3422,2,30,10.50,238.31
2289,4,8,2.08,324.56
1726,1,28,13.00,192.04
3456,1,11,11.27,354.96
3007,1,14,6.28,277.17
2560,5,16,11.27,261.16
3332,4,26,3.79,285.88
1288,4,6,13.19,58.53
2037,2,26,8.32,221.28
2249,1,14,6.37,233.85
1099,5,4,0.32,244.65
2142,3,2,10.92,196.63
1659,2,19,12.95,160.93
652,3,1,9.35,76.60
1182,2,2,2.02,183.64
2575,2,12,13.13,261.12
1036,2,1,2.62,132.02
2124,1,16,5.40,168.00
2889,3,19,1.32,309.32
707,4,18,14.80,120.08
2336,4,11,6.99,272.23
3026,3,23,0.55,343.03
1189,1,8,5.72,116.25
1161,5,10,7.16,192.47
715,3,16,8.84,81.17
1605,2,10,13.50,126.10
3459,2,18,3.63,307.62
718,2,24,0.93,136.15
971,4,20,13.95,177.78
3008,4,6,14.52,293.10
1189,3,3,9.20,177.78
3293,3,9,8.95,306.20
643,3,30,4.90,70.35
458,4,3,7.15,133.43
3285,5,25,14.48,312.87
1075,1,11,13.90,132.53
1065,4,5,2.55,176.55
3219,2,9,8.87,301.01
1600,5,14,4.59,188.71
1534,5,12,8.02,111.33
2365,4,10,2.18,288.71
2712,5,17,14.97,289.85
2719,1,1,8.59,326.22
763,5,16,5.74,180.46
2882,3,4,3.52,362.18
2275,4,17,10.77,261.38
3221,2,18,6.07,316.68
3232,3,4,1.60,418.11
3293,1,17,10.48,298.65
2803,3,11,1.13,316.75
3009,1,3,13.82,322.47
2304,2,11,11.19,246.09
1467,1,12,8.11,143.48
1917,4,28,8.85,204.86
1728,1,28,5.50,132.88
3426,5,14,8.40,338.55
1982,2,18,1.10,206.71
1515,2,14,9.41,189.10
650,2,24,6.85,18.00
1966,3,23,1.63,202.57
1588,2,8,9.70,162.75
3012,4,26,6.18,234.09
2499,3,0,1.65,328.86
2148,2,22,12.10,199.04
2983,5,12,10.05,281.95
715,1,19,11.06,90.33
3173,5,25,5.19,283.62
554,2,25,5.24,57.10
1348,2,29,11.48,162.15
1005,3,15,7.74,146.10
1236,2,4,12.54,151.75
2558,2,21,12.36,272.39
1286,1,17,9.81,136.25
1214,4,19,7.46,175.78
1618,4,16,0.80,233.22
725,4,23,1.12,115.10
2643,4,9,8.54,340.26
861,4,14,4.12,82.98
606,5,15,8.99,131.95
1500,1,10,6.25,181.87
1201,1,25,12.01,84.09
764,2,9,12.13,103.97
2103,5,27,11.01,226.38
2394,5,30,13.56,244.11
2602,3,28,2.79,190.75
1037,5,3,6.38,295.03
2979,4,1,8.98,347.22
3150,4,16,6.67,348.06
2095,3,24,4.85,233.88
3124,2,12,6.98,286.86
2887,1,30,5.33,241.09
1913,4,18,4.15,181.22
1735,3,22,3.66,174.62
3051,2,22,8.88,266.32
2523,1,6,14.25,286.06
2283,3,28,14.84,207.52
3326,5,20,9.16,267.14
1621,2,1,14.36,215.88
3406,2,27,13.92,336.19
3489,1,27,7.00,152.37
1260,2,4,13.34,169.51
2693,1,8,3.86,280.48
1121,1,21,1.23,139.66
2024,3,28,8.61,210.23
1264,4,27,11.98,165.66
939,4,10,3.66,105.04
3137,5,27,0.54,369.04
1147,4,28,0.12,242.98
469,1,8,9.29,68.13
1599,4,0,12.30,310.37
1493,2,19,13.99,134.25
957,4,23,10.66,94.43
589,5,27,14.60,233.56
1220,4,0,2.47,217.58
1827,5,5,11.94,193.03
2807,4,7,2.06,273.50
3177,4,7,3.28,353.97
2166,5,14,8.19,217.17
2819,1,23,12.69,264.56
1347,1,28,14.52,260.90
2541,2,13,3.09,239.01
1444,2,18,6.56,208.40
1914,5,18,4.45,233.72
3219,1,22,11.26,269.18
2335,2,21,8.44,190.94
701,1,25,5.43,100.97
1060,1,5,1.66,343.20
3303,5,29,9.42,319.91
694,4,27,8.26,88.81
574,3,5,6.64,115.34
936,3,27,3.37,132.35
583,3,5,0.41,93.28
3424,3,20,3.07,294.23
981,5,29,6.30,136.02
1582,4,30,0.70,216.35
539,4,12,9.13,127.73
1294,5,18,13.69,165.46
3000,4,7,11.66,365.48
1174,2,30,2.80,132.12
747,5,12,8.93,166.38
948,4,12,14.54,145.11
2245,4,18,6.01,204.90
674,3,5,7.84,134.17
1821,2,18,14.23,152.54
561,4,22,9.99,120.81
1811,3,26,8.42,162.47
624,1,16,14.06,95.35
765,3,18,10.35,82.13
465,1,29,9.62,55.14
2041,3,10,8.03,194.18
736,4,20,6.71,95.73
2468,5,30,5.68,249.53
542,1,28,10.37,32.66
2972,2,20,8.70,239.62
597,2,30,6.16,87.14
1330,4,3,9.79,206.07
2884,2,13,12.29,181.54
2310,2,17,5.77,290.04
1588,3,7,1.19,265.16
2766,3,15,8.18,217.48
2304,2,23,12.21,202.72
1609,1,6,7.24,163.08
1233,3,8,4.68,159.66
723,4,22,6.06,68.62
1003,4,16,10.66,127.69
3250,5,13,1.40,353.68
2381,1,29,9.06,211.73
2871,2,20,2.70,304.04
1528,3,7,11.73,200.14
2498,4,25,11.52,228.53
962,2,22,12.96,202.53
1079,3,19,3.93,113.20
3463,2,4,10.46,323.11
2660,4,0,5.18,355.34
2214,5,8,1.28,269.04
1498,2,19,6.69,167.82
1163,4,16,13.21,148.84
1843,2,5,0.88,206.14
2679,3,14,1.00,328.02
2387,4,23,2.64,202.98
2757,1,10,10.01,248.43
511,5,22,11.55,108.54
2352,2,2,11.35,275.30
936,4,1,1.85,145.07
717,2,29,8.35,59.76
3325,4,27,2.51,338.61
3047,2,6,13.97,313.73
